Loading Concentration (%),Thermal Expansion (1/K)
0,2.007887441161831,
8,12.039014596069876,
12,41.02708778801514,
16,86.93121229452076,
19,572.8681776424277,
0,-5.693341824402374,
8,8.772452776809404,
12,8.43532239218503,
16,275.0669652109259,
19,1168.773532800657,
0,6.568305557818325,
8,8.134184456310878,
12,6.797352209917804,
16,15.727647901193633,
19,8.873726475579673,
0,5.910966942083402,
8,5.028953602803233,
12,4.88836749589581,
16,4.768249789690549,
19,4.7165380606467275,
0,-6.020830292435108,
8,-6.421025597412063,
12,-6.560019491291265,
16,-6.647907802026346,
19,-6.716853804493344,
