Specific Surface Area (m²/g),Electric Field Strength (V/m)
1,7.476405006159701,zirconium dioxide/PMMA-PnBA-PMMA
2,7.26156251395735,zirconium dioxide/PMMA-PnBA-PMMA
5,12.134174194595907,zirconium dioxide/PMMA-PnBA-PMMA
11,63.709066121873654,zirconium dioxide/PMMA-PnBA-PMMA
12,34.0222676414235,zirconium dioxide/PMMA-PnBA-PMMA
14,76.1602952093969,zirconium dioxide/PMMA-PnBA-PMMA
4.5984932308838395,2.7643703203143297,graphite nanoplatelets/PMMA-PnBA-PMMA
6.958299341005969,2.5854182139678183,graphite nanoplatelets/PMMA-PnBA-PMMA
9.264770694672473,2.448043969274697,graphite nanoplatelets/PMMA-PnBA-PMMA
14.729935072901348,2.2895049507906062,graphite nanoplatelets/PMMA-PnBA-PMMA
15.579349190910998,2.2720638987534123,graphite nanoplatelets/PMMA-PnBA-PMMA
17.736496964955098,2.2416319002417513,graphite nanoplatelets/PMMA-PnBA-PMMA
3.0033688130161917,7.009600613435136,silica/PMMA-PnBA-PMMA
3.465817003588183,8.74118855686449,silica/PMMA-PnBA-PMMA
4.0199696481119584,7.853952935866017,silica/PMMA-PnBA-PMMA
14.088321671291354,94.85642398339999,silica/PMMA-PnBA-PMMA
17.025458600721485,238.19574864065098,silica/PMMA-PnBA-PMMA
19.873872571865835,1483.9231687364768,silica/PMMA-PnBA-PMMA
