Heat Treatment Temperature (°C),Thermal Conductivity (W/(m·K))
3,6.739485526954226,0.21% SiO2
4,6.43671404771954,0.21% SiO2
9,6.26086243839007,0.21% SiO2
12,6.220617901651782,0.21% SiO2
17,6.199789060488826,0.21% SiO2
19,6.197427076909372,0.21% SiO2
3,-2.3837711744455437,0.4% SiO2
4,-1.9348884329616047,0.4% SiO2
9,-2.1565638860361553,0.4% SiO2
12,2.4172671985107694,0.4% SiO2
17,3.2197071241947226,0.4% SiO2
19,16.546039799920294,0.4% SiO2
3,10.41086016900679,0.92% SiO2
4,8.901927807024567,0.92% SiO2
9,21.932329386322508,0.92% SiO2
12,39.55210815897964,0.92% SiO2
17,216.18385326432048,0.92% SiO2
19,782.8594937384133,0.92% SiO2
