Hardness (HV),Fracture Toughness (MPa·m^0.5)
0,2.068101132964481,
4,2.7299047229553883,
5,2.3962850143805605,
7,3.535814898933884,
8,2.8761370909495683,
16,7.140157714984557,
18,9.773288348512297,
0,-7.0863975886864665,
4,-7.192211358410257,
5,-7.355677194782885,
7,-7.463246030787506,
8,-7.434008685665653,
16,-7.690291085240562,
18,-7.729181803254785,
0,8.488000633868648,
4,12.62300636965535,
5,9.659514062796536,
7,13.749336345156454,
8,12.210131644203539,
16,455.6124935666722,
18,591.9448674713341,
0,-6.88690727205191,
4,-7.551618132175854,
5,-7.67780863448889,
7,-7.781891342146152,
8,-7.80630106838132,
16,-7.878230621896347,
18,-7.882146429000177,
0,2.013353509093746,
4,1.6081006507293174,
5,1.4967099229817629,
7,1.4636881705744975,
8,1.432813079477416,
16,1.34045189947764,
18,1.336796277818373,
