Neutron Flux (n/cm²/s),Particle Size (nm)
5.798128741966355,-5.931750916036764,0.29% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
7.385370986070612,-3.8869914628117974,0.29% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
9.303112499804907,-4.497064205471217,0.29% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
9.44687852016398,-2.5639202588359273,0.29% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
10.690886514109113,-6.188274043495136,0.29% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
14.589305126085923,-0.982162552308603,0.29% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
2,-2.90330320091385,0.11% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
5,-3.3501760856392293,0.11% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
11,-3.0608820004030033,0.11% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
13,-0.5073286615201855,0.11% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
14,1.67215314074401,0.11% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
18,1.1666787779031944,0.11% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
3.564475601699464,0.5575665745192602,0.78% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
5.417863721335337,0.6896464367078199,0.78% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
9.055489318583108,4.62572096917757,0.78% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
11.521812789801057,11.28862999994308,0.78% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
11.5258236228537,70.1975063891772,0.78% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
18.83753947737192,391.04718602829746,0.78% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
0,6.8421571577937765,0.47% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
2,6.495827529138036,0.47% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
4,6.356555803783557,0.47% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
8,6.1550982206309275,0.47% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
14,5.973305078364787,0.47% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
19,5.868004789026694,0.47% Cu(HO3PC6H5)2/DGEBD Epoxy Resin
