Aging Time (h),Bulk Modulus (GPa)
1,0.25359244647403245,rGO/PBI
9,0.8025398482031236,rGO/PBI
11,3.4181341571436406,rGO/PBI
13,0.2514818466552158,rGO/PBI
17,3.415838550110996,rGO/PBI
1,0.11999215311298539,talc/PBI
9,-0.45334041431155436,talc/PBI
11,-0.4933752133211321,talc/PBI
13,-0.5798627337707756,talc/PBI
17,-0.6655821576295712,talc/PBI
1,6.248725457858267,PVA/PBI
9,5.8085282809360335,PVA/PBI
11,5.672163755239197,PVA/PBI
13,5.666916452223724,PVA/PBI
17,5.544506871285933,PVA/PBI
1,0.7390295698451912,Barium titanate/PBI
9,1.212002127704459,Barium titanate/PBI
11,6.5232290546354035,Barium titanate/PBI
13,4.701957674826641,Barium titanate/PBI
17,-4.16281650447287,Barium titanate/PBI
1,-3.457726224842541,Acetylene black/PBI
9,-4.055013458712215,Acetylene black/PBI
11,-4.112185713062154,Acetylene black/PBI
13,-4.165537074263194,Acetylene black/PBI
17,-4.2908940184920485,Acetylene black/PBI
