Dielectric Constant,Electronic Conductivity (S/m)
1,7.346673125018843,0.15% titanium dioxide/Epoxy novolac viny ester resin
8,15.661371960213664,0.15% titanium dioxide/Epoxy novolac viny ester resin
13,72.22292662448885,0.15% titanium dioxide/Epoxy novolac viny ester resin
14,68.88531474320968,0.15% titanium dioxide/Epoxy novolac viny ester resin
0.41441089857323865,-1.7978775022658435,0.18% titanium dioxide/Epoxy novolac viny ester resin
4.095363977243225,-0.7971148503157428,0.18% titanium dioxide/Epoxy novolac viny ester resin
5.9948360929462225,-2.23203247659877,0.18% titanium dioxide/Epoxy novolac viny ester resin
12.500254674050044,-0.6413763949764704,0.18% titanium dioxide/Epoxy novolac viny ester resin
8,-3.0105816121278126,0.54% titanium dioxide/Epoxy novolac viny ester resin
16,-3.092386768701828,0.54% titanium dioxide/Epoxy novolac viny ester resin
17,-3.0939946855852662,0.54% titanium dioxide/Epoxy novolac viny ester resin
19,-3.097041625838403,0.54% titanium dioxide/Epoxy novolac viny ester resin
