Hardness (HV),Poisson’s Ratio
11,2.311921943823038,Titanium Dioxide/ABS
14,2.2422849053755773,Titanium Dioxide/ABS
15,2.1908136506142273,Titanium Dioxide/ABS
19,2.140383987728885,Titanium Dioxide/ABS
11,2.6083858916832994,Poly(vinyl alcohol)/ABS
14,-0.557596896352957,Poly(vinyl alcohol)/ABS
15,2.2254393286191023,Poly(vinyl alcohol)/ABS
19,22.63688410656451,Poly(vinyl alcohol)/ABS
11,-6.565881683031688,Magnesium oxide/ABS
14,-6.590169831103856,Magnesium oxide/ABS
15,-6.593678950189314,Magnesium oxide/ABS
19,-6.601665172121603,Magnesium oxide/ABS
