Pore Size (nm),Electrical Conductivity (S/m)
5,0.4557672246273473,Polylactic acid
12,0.14583596835612506,Polylactic acid
15,0.08592357894649724,Polylactic acid
18,0.020648011718839898,Polylactic acid
5,6.430640498666411,P4VP
12,6.179000050422828,P4VP
15,6.124565806722557,P4VP
18,6.060160760713697,P4VP
5,-0.9965726505594974,S-EB-S
12,69.06779197985705,S-EB-S
15,-13.41133957146003,S-EB-S
18,-104.15555931577015,S-EB-S
5,-6.785628932279151,P(VDF-HFP)
12,-6.955688041308145,P(VDF-HFP)
15,-6.972243707146193,P(VDF-HFP)
18,-6.978538922851924,P(VDF-HFP)
5,5.796530943808258,P(Baph)
12,33.861384822724254,P(Baph)
15,64.34808667338146,P(Baph)
18,479.8934590496552,P(Baph)
