Specific Surface Area (m²/g),Magnetic Permeability (H/m)
4,-0.7529436826853664,calcium carbonate/Unsaturated polyester resin
9,0.8396271156992152,calcium carbonate/Unsaturated polyester resin
15,2.4441387978469775,calcium carbonate/Unsaturated polyester resin
19,14.884573328116115,calcium carbonate/Unsaturated polyester resin
4,6.834854013386918,Single-wall carbon nanotubes/Unsaturated polyester resin
9,6.5138416661485286,Single-wall carbon nanotubes/Unsaturated polyester resin
15,6.355227315029756,Single-wall carbon nanotubes/Unsaturated polyester resin
19,6.2672357083999115,Single-wall carbon nanotubes/Unsaturated polyester resin
4,1.637429863058277,titania/Unsaturated polyester resin
9,1.306114825860041,titania/Unsaturated polyester resin
15,1.1154240270398847,titania/Unsaturated polyester resin
19,1.0533215067509947,titania/Unsaturated polyester resin
4,0.3931647088763494,White spirits/Unsaturated polyester resin
9,0.1434595033533428,White spirits/Unsaturated polyester resin
15,0.08420056395042552,White spirits/Unsaturated polyester resin
19,0.07659807333948744,White spirits/Unsaturated polyester resin
4,-0.5255876633640713,ZrO2/Unsaturated polyester resin
9,-0.8626470950377876,ZrO2/Unsaturated polyester resin
15,0.443443071658451,ZrO2/Unsaturated polyester resin
19,-2.303906319134888,ZrO2/Unsaturated polyester resin
