Synthesis Temperature (°C),Flexural Modulus (GPa)
4,-2.8373044704749537,0.77% Barium Titanate
8,-2.945597771318184,0.77% Barium Titanate
9,-3.0041485576666758,0.77% Barium Titanate
15,-3.1723568200164682,0.77% Barium Titanate
4,2.4594888127510384,0.83% Barium Titanate
8,2.32071308717637,0.83% Barium Titanate
9,2.8194080583881522,0.83% Barium Titanate
15,4.447965860228194,0.83% Barium Titanate
4,-7.070709181573735,0.45% Barium Titanate
8,-7.3378741360740465,0.45% Barium Titanate
9,-7.3798892730181365,0.45% Barium Titanate
15,-7.593748367009025,0.45% Barium Titanate
4,9.17525725349035,0.73% Barium Titanate
8,10.454771566923899,0.73% Barium Titanate
9,11.445783115112516,0.73% Barium Titanate
15,13.475181826692948,0.73% Barium Titanate
4,-6.753958097779895,0.87% Barium Titanate
8,-7.033428282868437,0.87% Barium Titanate
9,-7.145783069167206,0.87% Barium Titanate
15,-7.29051994766116,0.87% Barium Titanate
