Synthesis Temperature (°C),Electrical Conductivity (S/m)
4,-2.259816588921539,0.75% CaCO3/Cyclic olefin copolymer
12,17.959801376464032,0.75% CaCO3/Cyclic olefin copolymer
13,22.042221855362296,0.75% CaCO3/Cyclic olefin copolymer
14,136.76036439460145,0.75% CaCO3/Cyclic olefin copolymer
16,153.97008169107974,0.75% CaCO3/Cyclic olefin copolymer
18,233.50392167977904,0.75% CaCO3/Cyclic olefin copolymer
4,7.00704857164668,0.56% CaCO3/Cyclic olefin copolymer
12,6.600876190523994,0.56% CaCO3/Cyclic olefin copolymer
13,6.564625812768191,0.56% CaCO3/Cyclic olefin copolymer
14,6.55697695492758,0.56% CaCO3/Cyclic olefin copolymer
16,6.512222956084174,0.56% CaCO3/Cyclic olefin copolymer
18,6.46431983264243,0.56% CaCO3/Cyclic olefin copolymer
