Aspect Ratio,Glass Transition Temperature (°C)
2,1.4645542023313185,0.58% 9-anthracenemethanol
14,117.31376363149275,0.58% 9-anthracenemethanol
16,279.5046686931653,0.58% 9-anthracenemethanol
17,225.58384990258628,0.58% 9-anthracenemethanol
3.3477259394490444,1.6877844598334673,0.35% 9-anthracenemethanol
4.2812962671521415,1.8028463882853865,0.35% 9-anthracenemethanol
10.962775930514045,1.297971972480997,0.35% 9-anthracenemethanol
13.38666214209402,1.2893106761789168,0.35% 9-anthracenemethanol
8,4.259772389262665,0.59% 9-anthracenemethanol
16,7.186540008020288,0.59% 9-anthracenemethanol
17,5.228316742267195,0.59% 9-anthracenemethanol
18,10.053814143971016,0.59% 9-anthracenemethanol
