Storage Time (days),Remanence (A/m)
1,9.393754513745401,
2,9.36617577802413,
3,10.228663246507601,
12,34.88361201210708,
13,19.897510914855445,
14,43.571279977809894,
1,-5.7198629090037825,
2,-5.952668737207857,
3,-6.0109096238329505,
12,-6.4070526436864315,
13,-6.399874126991392,
14,-6.447711866174209,
1,7.7235101334655,
2,7.900003444761827,
3,7.65910793628701,
12,7.269581034480539,
13,7.22155535556423,
14,7.1984926975370325,
1,0.7478317745798541,
2,0.39382080429383226,
3,0.24232402032566824,
12,-0.09769162086414418,
13,-0.10290650743078734,
14,-0.10992758390244688,
1,-0.2990578646214628,
2,-0.5421117381912179,
3,-0.7534189421662393,
12,-1.1379641211773384,
13,-1.1774109631344885,
14,-1.1762204875818445,
