Dispersing Time (min),Polarization Resistance (Ω·m²)
7,-4.691466906947626,0.58% Paraffin oil/PEG
8,-4.605131818618906,0.58% Paraffin oil/PEG
10,-4.737454081991324,0.58% Paraffin oil/PEG
19,-4.950652047316649,0.58% Paraffin oil/PEG
7,-2.0535828148398827,0.17% Paraffin oil/PEG
8,-2.1381308497087166,0.17% Paraffin oil/PEG
10,-2.224762939438893,0.17% Paraffin oil/PEG
19,-2.4666807247373717,0.17% Paraffin oil/PEG
7,13.851982615830648,0.06% Paraffin oil/PEG
8,12.40076930329499,0.06% Paraffin oil/PEG
10,18.667353540412247,0.06% Paraffin oil/PEG
19,689.1209053876103,0.06% Paraffin oil/PEG
7,2.510031338106501,0.62% Paraffin oil/PEG
8,2.3776960259343665,0.62% Paraffin oil/PEG
10,2.3526503931587786,0.62% Paraffin oil/PEG
19,2.1096218420823405,0.62% Paraffin oil/PEG
