Drying Temperature (°C),Heat Capacity (J/K)
0,3.980194942884034,PB
11,3.407455367548452,PB
12,3.3960389170646055,PB
15,3.380392978904554,PB
0,-2.9560857375353953,Polystyrene
11,-1.9005748119227683,Polystyrene
12,1.8855943993474487,Polystyrene
15,-0.2789571257929433,Polystyrene
0,0.3014791465207489,PVDF
11,-0.3090223469017237,PVDF
12,-0.3232610690521737,PVDF
15,-0.3366432873093696,PVDF
0,0.5983832671757037,PTFCE
11,2.456557058065911,PTFCE
12,3.0743358211908576,PTFCE
15,7.8734921751738955,PTFCE
0,3.856807418955209,PUR
11,47.44323123141246,PUR
12,26.0199462881461,PUR
15,90.35786852366049,PUR
