Light Intensity (W/m²),Electric Field Strength (V/m)
0,-0.4842398550746052,0.66% graphene oxide/Poly(butyl acrylate)
6,3.997719324216696,0.66% graphene oxide/Poly(butyl acrylate)
7,8.931650014760407,0.66% graphene oxide/Poly(butyl acrylate)
8,12.686987510822192,0.66% graphene oxide/Poly(butyl acrylate)
17,38.87445331650355,0.66% graphene oxide/Poly(butyl acrylate)
0,-1.2598330368185808,0.75% graphene oxide/Poly(butyl acrylate)
6,-0.15085456728019997,0.75% graphene oxide/Poly(butyl acrylate)
7,-1.351237821891116,0.75% graphene oxide/Poly(butyl acrylate)
8,-0.04753114354645671,0.75% graphene oxide/Poly(butyl acrylate)
17,2.0463445910395146,0.75% graphene oxide/Poly(butyl acrylate)
