Frequency (Hz),Hardness (HV)
1,-4.0394765766249945,0.04% Zirconium dioxide
8,-1.8874979784615387,0.04% Zirconium dioxide
16,6.498777461416443,0.04% Zirconium dioxide
1,7.538091319418257,0.11% Zirconium dioxide
8,5.049489759628971,0.11% Zirconium dioxide
16,44.02636095201457,0.11% Zirconium dioxide
1,-0.5335050464095242,0.77% Zirconium dioxide
8,-1.0270973986813257,0.77% Zirconium dioxide
16,-1.1169496147137832,0.77% Zirconium dioxide
1,-3.7415631754635763,0.92% Zirconium dioxide
8,-0.9324701099353883,0.92% Zirconium dioxide
16,-7.373948356494378,0.92% Zirconium dioxide
1,-2.8125416744837968,0.11% Zirconium dioxide
8,-3.382769832901739,0.11% Zirconium dioxide
16,-3.461124902303522,0.11% Zirconium dioxide
