Strain,Complex Modulus (Pa)
1.8061384958164939,5.194473365086924,0.2% Channel black
2.372809576504742,4.880022262273826,0.2% Channel black
5.719061092382831,5.986382660157039,0.2% Channel black
12.5901667139408,5.700330668745913,0.2% Channel black
2,7.450984770684762,0.62% Channel black
3,7.145492260854183,0.62% Channel black
10,6.927762291146537,0.62% Channel black
12,6.90595388818121,0.62% Channel black
1.709932475997411,-5.554098015622351,0.47% Channel black
5.61405654224685,-6.104791625513644,0.47% Channel black
6.29964228817955,-5.923350141722438,0.47% Channel black
17.730694955977146,-6.3987295112085185,0.47% Channel black
2.9868005402207154,-1.242398606860274,0.93% Channel black
10.060198762176327,-1.7051943674541112,0.93% Channel black
12.962984061587035,-1.8163286062824504,0.93% Channel black
19.893336942173907,-1.9563606292678244,0.93% Channel black
