X-ray Dose (Gy),Dynamic Viscosity (Pa·s)
0.8884632402315185,0.9612150696348086,CaCu3Ti4O12/Nylon 11
1.272535551193179,1.3629042253958705,CaCu3Ti4O12/Nylon 11
2.670189794914639,1.152628535953679,CaCu3Ti4O12/Nylon 11
5.285023740290065,2.5753524923398707,CaCu3Ti4O12/Nylon 11
9.111864128478604,2.3992277017168444,CaCu3Ti4O12/Nylon 11
0.8884632402315185,-4.873931653574559,CaCO3/Nylon 11
1.272535551193179,-4.579393860110279,CaCO3/Nylon 11
2.670189794914639,-3.7047556448780954,CaCO3/Nylon 11
5.285023740290065,-3.2532527019890387,CaCO3/Nylon 11
9.111864128478604,23.425994940808415,CaCO3/Nylon 11
0.8884632402315185,-2.6066735961727234,Carbon black/Nylon 11
1.272535551193179,-2.1573624595881267,Carbon black/Nylon 11
2.670189794914639,-2.436477844114055,Carbon black/Nylon 11
5.285023740290065,-1.8917528758551279,Carbon black/Nylon 11
9.111864128478604,-0.41232230724991403,Carbon black/Nylon 11
0.8884632402315185,-3.7196591948731217,cellulose nanowhiskers/Nylon 11
1.272535551193179,-3.3576124500760325,cellulose nanowhiskers/Nylon 11
2.670189794914639,-3.8722530849976566,cellulose nanowhiskers/Nylon 11
5.285023740290065,-3.848659269385135,cellulose nanowhiskers/Nylon 11
9.111864128478604,-4.176483168845443,cellulose nanowhiskers/Nylon 11
0.8884632402315185,8.475671991461772,SWNTs/Nylon 11
1.272535551193179,8.565132070910392,SWNTs/Nylon 11
2.670189794914639,8.595933068477656,SWNTs/Nylon 11
5.285023740290065,8.317535473568237,SWNTs/Nylon 11
9.111864128478604,8.075013019551019,SWNTs/Nylon 11
