Temperature (°C),Complex Viscosity (Pa·s)
3,-0.9536435946577231,0.5% silica
6,1.288738101853622,0.5% silica
8,3.4253446461609904,0.5% silica
11,21.888849347833634,0.5% silica
18,142.3654389803485,0.5% silica
19,139.814298110036,0.5% silica
0,5.506183613159992,0.49% silica
5,5.3206301092837265,0.49% silica
8,5.08280844833111,0.49% silica
9,5.036509580003985,0.49% silica
12,4.888610014341933,0.49% silica
13,4.900380742548858,0.49% silica
6.114436564373216,4.656033062612305,0.01% silica
10.797177171445352,4.539643677909195,0.01% silica
14.665664791873718,4.4275629439324415,0.01% silica
18.304913318919247,4.377839242334898,0.01% silica
18.5975745720722,4.355806333571613,0.01% silica
19.396500357234654,4.34967927028301,0.01% silica
