Ultrasound Time (min),Shear Strength (MPa)
9,12.325891592656708,octyldimethylmethoxysilane/DGEBF Epoxy Resin
10,5.984185547702138,octyldimethylmethoxysilane/DGEBF Epoxy Resin
11,16.03077651718486,octyldimethylmethoxysilane/DGEBF Epoxy Resin
9,-0.3017122174984816,multi-walled CNTs/DGEBF Epoxy Resin
10,-0.3490957916840408,multi-walled CNTs/DGEBF Epoxy Resin
11,-0.3351762280815395,multi-walled CNTs/DGEBF Epoxy Resin
9,8.856540688996807,CuPP/DGEBF Epoxy Resin
10,36.0413049556641,CuPP/DGEBF Epoxy Resin
11,39.04411523734795,CuPP/DGEBF Epoxy Resin
9,0.943801793548106,Ba0.7Sr0.3TiO3/DGEBF Epoxy Resin
10,0.9821507718100173,Ba0.7Sr0.3TiO3/DGEBF Epoxy Resin
11,5.660025785342375,Ba0.7Sr0.3TiO3/DGEBF Epoxy Resin
