Ultrasound Power (W),Electric Field Strength (V/m)
6,11.494864204808053,PMS
10,5.056918225132938,PMS
13,58.824658292944086,PMS
18,-270.48031902543454,PMS
6,7.372118780059683,FKM
10,7.206573292352629,FKM
13,7.127118409921146,FKM
18,7.024464738029386,FKM
6,5.91920442270643,PPSF
10,6.936447842652904,PPSF
13,7.660030491716543,PPSF
18,25.355089216958035,PPSF
6,8.169857696206707,DGEBD
10,21.526739063764822,DGEBD
13,70.68708694603575,DGEBD
18,262.90288716032387,DGEBD
6,8.372354904827592,DGEBD
10,8.146270484624933,DGEBD
13,8.092098648149209,DGEBD
18,7.978929649921781,DGEBD
