Pore Size (nm),Magnetic Permeability (H/m)
6,0.7756605893810082,0.22% Molybdenum disulfide/PHFP
12,0.6541704297588736,0.22% Molybdenum disulfide/PHFP
18,0.6314850892426538,0.22% Molybdenum disulfide/PHFP
6,-6.090789086180778,0.43% Molybdenum disulfide/PHFP
12,-6.370862717330953,0.43% Molybdenum disulfide/PHFP
18,-6.470706415108597,0.43% Molybdenum disulfide/PHFP
6,-4.279068484824883,0.58% Molybdenum disulfide/PHFP
12,-4.494407381384694,0.58% Molybdenum disulfide/PHFP
18,-4.650852977875839,0.58% Molybdenum disulfide/PHFP
6,2.424781802278671,0.12% Molybdenum disulfide/PHFP
12,2.2214090327530656,0.12% Molybdenum disulfide/PHFP
18,2.07956211261588,0.12% Molybdenum disulfide/PHFP
