Filler Content (%),Peel Strength (N/m)
1,7.863860512587644,Polyimide
6,10.437050713845126,Polyimide
8,19.070413808234512,Polyimide
12,78.10193915277662,Polyimide
19,827.7026225219882,Polyimide
1,-7.146014362924768,Polyrotaxane
6,-7.792840678719684,Polyrotaxane
8,-7.887420881022338,Polyrotaxane
12,-7.948694856525249,Polyrotaxane
19,-7.971844525855765,Polyrotaxane
1,2.337821277033616,Polyphenylsulfone
6,9.162254289861755,Polyphenylsulfone
8,22.37654401647193,Polyphenylsulfone
12,27.596683950110123,Polyphenylsulfone
19,68.8872864027985,Polyphenylsulfone
1,2.3893330430543953,PEEK
6,1.860974317046835,PEEK
8,1.762800413831526,PEEK
12,1.696237241246263,PEEK
19,1.670454866167868,PEEK
