Curing Time (min),Thermal Resistance (K/W)
2,0.47461583626539106,0.48% OMMT
4,0.33316092190118374,0.48% OMMT
5,0.13502293382164687,0.48% OMMT
12,-0.18979826487098517,0.48% OMMT
2,4.705616523457632,0.69% OMMT
4,5.221814456904625,0.69% OMMT
5,5.330020281540602,0.69% OMMT
12,5.890586498775351,0.69% OMMT
2,-6.620065634965327,0.76% OMMT
4,-5.81423993456032,0.76% OMMT
5,-6.790314215843617,0.76% OMMT
12,-3.7336402315633848,0.76% OMMT
2,-4.298121633640898,0.49% OMMT
4,-4.311057435778578,0.49% OMMT
5,-4.479243280100205,0.49% OMMT
12,-4.70011789239328,0.49% OMMT
