Synthesis Time (min),Hysteresis Loss (J/m³)
4,-1.492716259745534,PBA
7,-1.4859032465452322,PBA
8,-0.26786707780056807,PBA
9,0.4816769875834046,PBA
17,-0.8240178069124027,PBA
4,5.574359320310895,Unsaturated polyester resin
7,11.569225414999801,Unsaturated polyester resin
8,24.71344145379347,Unsaturated polyester resin
9,7.89210792318393,Unsaturated polyester resin
17,-98.65052441504854,Unsaturated polyester resin
4,-2.380863154335656,BXZ
7,3.9237439661494964,BXZ
8,3.3105414544292078,BXZ
9,5.357502093519653,BXZ
17,68.04292004099094,BXZ
4,-0.6115552983204654,PLA
7,-0.7354277615357452,PLA
8,-0.7699153241373423,PLA
9,-0.7881578477119415,PLA
17,-0.8443506104553502,PLA
