Particle Density,Melting Temperature (°C)
2,6.485597046227213,PEMA
3,6.2972581201363935,PEMA
17,5.9623026182995895,PEMA
18,5.960399205917895,PEMA
6.265843691752016,7.812116688058078,PAM
6.9396409823147875,5.710904281369984,PAM
12.093301387782098,12.504198243603394,PAM
19.58333107602428,102.14428877974186,PAM
12.452736188885119,1.1792041197523453,Poly(ethylene terephthalate)
14.196585466585184,1.1781483776773436,Poly(ethylene terephthalate)
16.11937618777678,1.12502762597542,Poly(ethylene terephthalate)
16.656412151119348,1.1188727213159093,Poly(ethylene terephthalate)
0,5.78655178115069,iPP
5,5.195847385228513,iPP
9,4.985565680912463,iPP
10,4.974070593664329,iPP
