Thickness (µm),Melting Temperature (°C)
4,6.294911355047533,0.98% Acetylene black/PVA
13,7.140606804772528,0.98% Acetylene black/PVA
15,13.88180363008314,0.98% Acetylene black/PVA
18,1.0121302109511623,0.98% Acetylene black/PVA
4,-2.888415650255057,0.19% Acetylene black/PVA
13,-3.229965519648737,0.19% Acetylene black/PVA
15,-3.2927416053413068,0.19% Acetylene black/PVA
18,-3.3388219197378266,0.19% Acetylene black/PVA
4,-5.642624025931231,0.88% Acetylene black/PVA
13,-4.800807368128671,0.88% Acetylene black/PVA
15,-1.7574141164744983,0.88% Acetylene black/PVA
18,17.25176885086917,0.88% Acetylene black/PVA
