Heat Treatment Temperature (°C),Tensile Strength (MPa)
6,6.5732862275616,0.29% Talcum/PAA
17,6.281923006727687,0.29% Talcum/PAA
18,6.265689380280334,0.29% Talcum/PAA
7.197843601440952,3.0297789806402893,0.71% Talcum/PAA
11.12779640332789,15.118810458584788,0.71% Talcum/PAA
11.160612083374566,14.442698650245964,0.71% Talcum/PAA
14.23172893902371,3.937059278448075,0.56% Talcum/PAA
15.101875582200666,5.592439106575188,0.56% Talcum/PAA
19.131620954276173,1.4729565461981444,0.56% Talcum/PAA
2.2143635583042776,-5.77333739883639,0.46% Talcum/PAA
4.411663656278546,-5.541118353788061,0.46% Talcum/PAA
18.802563042144058,-5.418226145330019,0.46% Talcum/PAA
